,Close,High,Low,Open,Volume,Dividends,Stock Splits
2020-07-07,282.75,290.21,281.99,288.01,741000,0.0,0.0
2020-07-08,279.62,284.68,277.46,282.32,908100,0.0,0.0
2020-07-09,265.55,278.89,265.13,278.26,1729500,0.0,0.0
2020-07-10,271.17,273.23,266.35,266.69,1504700,0.0,0.0
2020-07-13,271.5,275.42,269.58,273.42,1043600,0.0,0.0
2020-07-14,274.47,274.75,267.01,270.49,1180200,0.0,0.0
2020-07-15,279.31,282.25,276.74,278.71,1196300,0.0,0.0
2020-07-16,281.99,284.15,275.35,278.11,1162900,0.0,0.0
2020-07-17,284.95,285.74,281.92,284.03,1544800,0.0,0.0
2020-07-20,279.98,284.88,279.76,284.87,921800,0.0,0.0
2020-07-21,286.21,287.08,280.82,284.48,1007400,0.0,0.0
2020-07-22,293.46,293.82,284.18,284.72,942100,0.0,0.0
2020-07-23,290.73,295.99,289.46,293.46,694200,0.0,0.0
2020-07-24,290.39,296.05,288.13,292.33,686900,0.0,0.0
2020-07-27,286.05,289.49,284.06,288.83,575800,0.0,0.0
2020-07-28,290.55,295.26,285.95,285.95,709300,0.0,0.0
2020-07-29,292.77,294.1,288.38,293.59,1299500,0.0,0.0
2020-07-30,302.76,305.96,290.68,291.6,1493800,0.0,0.0
2020-07-31,301.83,303.29,295.5,302.76,1161300,0.0,0.0
2020-08-03,300.51,302.92,298.87,301.43,603100,0.0,0.0
2020-08-04,301.83,302.09,297.97,301.45,538100,0.0,0.0
2020-08-05,306.19,307.33,301.83,302.67,566400,0.0,0.0
2020-08-06,303.06,306.14,302.24,304.6,720200,0.0,0.0
2020-08-07,305.78,308.32,302.26,303.52,1470200,0.0,0.0
2020-08-10,311.78,312.28,306.8,306.8,1016000,0.0,0.0
2020-08-11,317.47,320.77,314.32,315.0,1527100,0.0,0.0
2020-08-12,315.19,319.45,313.47,318.7,636600,0.0,0.0
2020-08-13,314.47,316.51,311.53,312.77,493000,0.0,0.0
2020-08-14,317.66,319.31,312.83,313.22,396200,0.0,0.0
2020-08-17,315.53,319.46,314.37,317.39,628200,0.0,0.0
2020-08-18,313.52,315.67,313.21,315.49,499000,0.0,0.0
2020-08-19,313.81,316.05,312.22,312.96,487700,0.0,0.0
2020-08-20,312.66,314.3,312.06,313.5,338500,0.0,0.0
2020-08-21,313.76,314.94,312.44,313.24,440800,0.0,0.0
2020-08-24,319.85,319.94,314.27,314.54,416700,0.0,0.0
2020-08-25,318.53,320.46,317.1,320.39,454600,0.0,0.0
2020-08-26,317.06,318.42,313.91,317.14,607200,0.0,0.0
2020-08-27,324.1,324.32,317.66,318.96,669200,0.0,0.0
2020-08-28,321.5,325.04,319.18,324.32,513500,1.45,0.0
2020-08-31,319.5,321.23,318.53,320.05,558000,0.0,0.0
2020-09-01,317.42,319.74,314.37,317.22,538800,0.0,0.0
2020-09-02,324.86,326.62,315.22,315.97,660600,0.0,0.0
2020-09-03,319.15,328.37,316.99,327.0,791700,0.0,0.0
2020-09-04,316.16,323.65,314.59,320.79,584400,0.0,0.0
2020-09-08,311.99,316.96,311.67,316.96,661800,0.0,0.0
2020-09-09,316.52,319.64,313.95,319.57,608800,0.0,0.0
2020-09-10,307.76,318.04,307.19,316.85,558100,0.0,0.0
2020-09-11,316.02,317.22,309.33,310.59,489300,0.0,0.0
2020-09-14,315.62,318.61,314.88,317.77,552900,0.0,0.0
2020-09-15,315.22,317.02,312.15,314.78,523500,0.0,0.0
2020-09-16,320.3,323.49,313.09,314.5,750000,0.0,0.0
2020-09-17,320.65,322.17,315.28,318.12,361300,0.0,0.0
2020-09-18,318.46,322.56,318.15,318.15,689900,0.0,0.0
2020-09-21,303.91,315.72,302.53,315.14,714900,0.0,0.0
2020-09-22,310.35,310.97,304.86,305.24,651900,0.0,0.0
2020-09-23,305.93,314.58,304.49,311.89,790800,0.0,0.0
2020-09-24,302.82,306.53,299.51,305.39,574900,0.0,0.0
2020-09-25,305.88,307.35,301.16,302.27,646300,0.0,0.0
2020-09-28,307.29,311.06,306.55,308.24,566900,0.0,0.0
2020-09-29,303.34,308.13,302.55,306.6,483200,0.0,0.0
2020-09-30,294.21,304.69,291.19,304.2,1183800,0.0,0.0
2020-10-01,290.78,299.39,288.49,295.94,1687900,0.0,0.0
2020-10-02,292.77,293.88,286.4,288.26,1380900,0.0,0.0
2020-10-05,291.12,295.83,290.3,294.54,881700,0.0,0.0
2020-10-06,288.13,298.72,288.05,298.72,1149200,0.0,0.0
2020-10-07,292.72,294.28,289.46,289.46,1019500,0.0,0.0
2020-10-08,298.12,298.25,293.02,293.02,596800,0.0,0.0
2020-10-09,294.01,300.72,292.47,298.41,1210200,0.0,0.0
2020-10-12,295.23,297.3,292.09,293.3,834600,0.0,0.0
2020-10-13,291.51,296.95,290.82,293.85,636400,0.0,0.0
2020-10-14,293.65,296.18,290.39,290.42,1119900,0.0,0.0
2020-10-15,293.58,294.93,291.18,292.38,854000,0.0,0.0
2020-10-16,294.91,298.16,294.27,294.66,1393700,0.0,0.0
2020-10-19,290.33,297.38,289.85,294.72,775300,0.0,0.0
2020-10-20,288.2,292.6,287.49,292.58,786300,0.0,0.0
2020-10-21,287.57,288.94,285.27,287.26,830000,0.0,0.0
2020-10-22,282.55,293.46,282.55,288.4,1388000,0.0,0.0
2020-10-23,287.62,288.68,283.49,284.58,1113300,0.0,0.0
2020-10-26,288.94,291.28,281.35,284.8,1312700,0.0,0.0
2020-10-27,281.74,288.17,281.69,287.85,1081500,0.0,0.0
2020-10-28,273.85,283.73,273.74,279.37,1221300,0.0,0.0
2020-10-29,272.67,277.61,271.6,272.81,1260400,0.0,0.0
2020-10-30,270.27,274.09,265.9,271.25,1227100,0.0,0.0
2020-11-02,276.62,278.81,273.0,274.62,852100,0.0,0.0
2020-11-03,284.26,286.4,279.12,279.12,864900,0.0,0.0
2020-11-04,294.35,302.39,288.16,289.09,1684000,0.0,0.0
2020-11-05,286.66,295.88,285.41,295.15,1410300,0.0,0.0
2020-11-06,281.03,285.3,276.62,285.12,946700,0.0,0.0
2020-11-09,280.96,296.18,279.83,293.75,1732000,0.0,0.0
2020-11-10,293.29,295.52,281.14,282.31,948500,0.0,0.0
2020-11-11,289.05,293.72,285.38,293.71,590700,0.0,0.0
2020-11-12,285.57,287.95,281.95,287.22,737400,0.0,0.0
2020-11-13,290.68,292.0,286.39,287.3,493400,0.0,0.0
